Cycle 64, cell 229 died of STRUCTURAL_COLLAPSE. E: 0.00, S: 0.00
Cycle 155, cell 502 died of STRUCTURAL_COLLAPSE. E: 0.00, S: 0.00
Cycle 155, cell 20 died of STRUCTURAL_COLLAPSE. E: 0.00, S: 0.00
Cycle 156, cell 440 died of STRUCTURAL_COLLAPSE. E: 0.00, S: 0.00
Cycle 156, cell 430 died of STRUCTURAL_COLLAPSE. E: 0.00, S: 0.00
Cycle 157, cell 283 died of STRUCTURAL_COLLAPSE. E: 0.00, S: 0.00
Cycle 157, cell 151 died of STRUCTURAL_COLLAPSE. E: 0.00, S: 0.00
Cycle 157, cell 230 died of STRUCTURAL_COLLAPSE. E: 0.00, S: 0.00
Cycle 157, cell 31 died of STRUCTURAL_COLLAPSE. E: 0.00, S: 0.00
Cycle 157, cell 116 died of STRUCTURAL_COLLAPSE. E: 0.00, S: 0.00
Cycle 158, cell 768 died of STRUCTURAL_COLLAPSE. E: 0.00, S: 0.00
Cycle 158, cell 156 died of STRUCTURAL_COLLAPSE. E: 0.00, S: 0.00
Cycle 158, cell 137 died of STRUCTURAL_COLLAPSE. E: 0.00, S: 0.00
Cycle 158, cell 168 died of STRUCTURAL_COLLAPSE. E: 0.00, S: 0.00
Cycle 159, cell 183 died of STRUCTURAL_COLLAPSE. E: 0.00, S: 0.00
Cycle 160, cell 253 died of STRUCTURAL_COLLAPSE. E: 0.00, S: 0.00
Cycle 160, cell 432 died of STRUCTURAL_COLLAPSE. E: 0.00, S: 0.00
Cycle 161, cell 488 died of STRUCTURAL_COLLAPSE. E: 0.00, S: 0.00
Cycle 162, cell 444 died of STRUCTURAL_COLLAPSE. E: 0.00, S: 0.00
Cycle 162, cell 637 died of STRUCTURAL_COLLAPSE. E: 0.00, S: 0.00
Cycle 162, cell 205 died of STRUCTURAL_COLLAPSE. E: 0.00, S: 0.00
Cycle 162, cell 308 died of STRUCTURAL_COLLAPSE. E: 0.00, S: 0.00
Cycle 163, cell 75 died of STRUCTURAL_COLLAPSE. E: 0.00, S: 0.00
Cycle 163, cell 214 died of STRUCTURAL_COLLAPSE. E: 0.00, S: 0.00
Cycle 164, cell 307 died of STRUCTURAL_COLLAPSE. E: 0.00, S: 0.00
Cycle 164, cell 401 died of STRUCTURAL_COLLAPSE. E: 0.00, S: 0.00
Cycle 165, cell 333 died of STRUCTURAL_COLLAPSE. E: 0.00, S: 0.00
Cycle 165, cell 380 died of STRUCTURAL_COLLAPSE. E: 0.00, S: 0.00
Cycle 166, cell 395 died of STRUCTURAL_COLLAPSE. E: 0.00, S: 0.00
Cycle 166, cell 335 died of STRUCTURAL_COLLAPSE. E: 0.00, S: 0.00
Cycle 167, cell 277 died of STRUCTURAL_COLLAPSE. E: 0.00, S: 0.00
Cycle 167, cell 127 died of STRUCTURAL_COLLAPSE. E: 0.00, S: 0.00
Cycle 167, cell 246 died of STRUCTURAL_COLLAPSE. E: 0.00, S: 0.00
Cycle 168, cell 547 died of STRUCTURAL_COLLAPSE. E: 0.00, S: 0.00
Cycle 169, cell 306 died of STRUCTURAL_COLLAPSE. E: 0.00, S: 0.00
Cycle 169, cell 90 died of STRUCTURAL_COLLAPSE. E: 0.00, S: 0.00
Cycle 169, cell 570 died of STRUCTURAL_COLLAPSE. E: 0.00, S: 0.00
Cycle 169, cell 327 died of STRUCTURAL_COLLAPSE. E: 0.00, S: 0.00
Cycle 169, cell 517 died of STRUCTURAL_COLLAPSE. E: 0.00, S: 0.00
Cycle 170, cell 466 died of STRUCTURAL_COLLAPSE. E: 0.00, S: 0.00
Cycle 171, cell 148 died of STRUCTURAL_COLLAPSE. E: 0.00, S: 0.00
Cycle 171, cell 687 died of STRUCTURAL_COLLAPSE. E: 186.00, S: 0.00
Cycle 171, cell 192 died of STRUCTURAL_COLLAPSE. E: 0.00, S: 0.00
Cycle 171, cell 265 died of STRUCTURAL_COLLAPSE. E: 0.00, S: 0.00
Cycle 172, cell 530 died of STRUCTURAL_COLLAPSE. E: 0.00, S: 0.00
Cycle 172, cell 411 died of STRUCTURAL_COLLAPSE. E: 0.00, S: 0.00
Cycle 172, cell 330 died of STRUCTURAL_COLLAPSE. E: 0.00, S: 0.00
Cycle 172, cell 514 died of STRUCTURAL_COLLAPSE. E: 0.00, S: 0.00
Cycle 172, cell 645 died of STRUCTURAL_COLLAPSE. E: 174.50, S: 0.00
Cycle 172, cell 321 died of STRUCTURAL_COLLAPSE. E: 0.00, S: 0.00
Cycle 173, cell 16 died of STRUCTURAL_COLLAPSE. E: 0.00, S: 0.00
Cycle 173, cell 41 died of STRUCTURAL_COLLAPSE. E: 0.00, S: 0.00
Cycle 173, cell 129 died of STRUCTURAL_COLLAPSE. E: 0.00, S: 0.00
Cycle 173, cell 610 died of STRUCTURAL_COLLAPSE. E: 0.00, S: 0.00
Cycle 173, cell 473 died of STRUCTURAL_COLLAPSE. E: 0.00, S: 0.00
Cycle 174, cell 254 died of STRUCTURAL_COLLAPSE. E: 0.00, S: 0.00
Cycle 174, cell 367 died of STRUCTURAL_COLLAPSE. E: 0.00, S: 0.00
Cycle 174, cell 575 died of STRUCTURAL_COLLAPSE. E: 0.00, S: 0.00
Cycle 174, cell 180 died of STRUCTURAL_COLLAPSE. E: 0.00, S: 0.00
Cycle 174, cell 544 died of STRUCTURAL_COLLAPSE. E: 0.00, S: 0.00
Cycle 174, cell 242 died of STRUCTURAL_COLLAPSE. E: 0.00, S: 0.00
Cycle 174, cell 435 died of STRUCTURAL_COLLAPSE. E: 0.00, S: 0.00
Cycle 174, cell 261 died of STRUCTURAL_COLLAPSE. E: 0.00, S: 0.00
Cycle 174, cell 63 died of STRUCTURAL_COLLAPSE. E: 0.00, S: 0.00
Cycle 174, cell 212 died of STRUCTURAL_COLLAPSE. E: 0.00, S: 0.00
Cycle 174, cell 320 died of STRUCTURAL_COLLAPSE. E: 0.00, S: 0.00
Cycle 175, cell 526 died of STRUCTURAL_COLLAPSE. E: 0.00, S: 0.00
Cycle 175, cell 628 died of STRUCTURAL_COLLAPSE. E: 0.00, S: 0.00
Cycle 175, cell 583 died of STRUCTURAL_COLLAPSE. E: 0.00, S: 0.00
Cycle 176, cell 227 died of STRUCTURAL_COLLAPSE. E: 0.00, S: 0.00
Cycle 176, cell 611 died of STRUCTURAL_COLLAPSE. E: 0.00, S: 0.00
Cycle 177, cell 661 died of STRUCTURAL_COLLAPSE. E: 0.00, S: 0.00
Cycle 177, cell 163 died of STRUCTURAL_COLLAPSE. E: 0.00, S: 0.00
Cycle 177, cell 630 died of STRUCTURAL_COLLAPSE. E: 0.00, S: 0.00
Cycle 177, cell 516 died of STRUCTURAL_COLLAPSE. E: 0.00, S: 0.00
Cycle 177, cell 422 died of STRUCTURAL_COLLAPSE. E: 0.00, S: 0.00
Cycle 178, cell 559 died of STRUCTURAL_COLLAPSE. E: 0.00, S: 0.00
Cycle 178, cell 508 died of STRUCTURAL_COLLAPSE. E: 0.00, S: 0.00
Cycle 178, cell 472 died of STRUCTURAL_COLLAPSE. E: 0.00, S: 0.00
Cycle 178, cell 235 died of STRUCTURAL_COLLAPSE. E: 0.00, S: 0.00
Cycle 179, cell 302 died of STRUCTURAL_COLLAPSE. E: 0.00, S: 0.00
Cycle 179, cell 193 died of STRUCTURAL_COLLAPSE. E: 0.00, S: 0.00
Cycle 179, cell 512 died of STRUCTURAL_COLLAPSE. E: 0.00, S: 0.00
Cycle 180, cell 463 died of STRUCTURAL_COLLAPSE. E: 0.00, S: 0.00
Cycle 180, cell 225 died of STRUCTURAL_COLLAPSE. E: 0.00, S: 0.00
Cycle 180, cell 468 died of STRUCTURAL_COLLAPSE. E: 0.00, S: 0.00
Cycle 180, cell 373 died of STRUCTURAL_COLLAPSE. E: 0.00, S: 0.00
Cycle 181, cell 176 died of STRUCTURAL_COLLAPSE. E: 0.00, S: 0.00
Cycle 181, cell 416 died of STRUCTURAL_COLLAPSE. E: 0.00, S: 0.00
Cycle 181, cell 569 died of STRUCTURAL_COLLAPSE. E: 0.00, S: 0.00
Cycle 181, cell 494 died of STRUCTURAL_COLLAPSE. E: 0.00, S: 0.00
Cycle 182, cell 247 died of STRUCTURAL_COLLAPSE. E: 0.00, S: 0.00
Cycle 182, cell 541 died of STRUCTURAL_COLLAPSE. E: 0.00, S: 0.00
Cycle 182, cell 540 died of STRUCTURAL_COLLAPSE. E: 0.00, S: 0.00
Cycle 182, cell 98 died of STRUCTURAL_COLLAPSE. E: 0.00, S: 0.00
Cycle 182, cell 545 died of STRUCTURAL_COLLAPSE. E: 0.00, S: 0.00
Cycle 183, cell 51 died of STRUCTURAL_COLLAPSE. E: 0.00, S: 0.00
Cycle 183, cell 128 died of STRUCTURAL_COLLAPSE. E: 0.00, S: 0.00
Cycle 183, cell 171 died of STRUCTURAL_COLLAPSE. E: 0.00, S: 0.00
Cycle 183, cell 112 died of STRUCTURAL_COLLAPSE. E: 0.00, S: 0.00
Cycle 183, cell 228 died of STRUCTURAL_COLLAPSE. E: 0.00, S: 0.00
Cycle 183, cell 222 died of STRUCTURAL_COLLAPSE. E: 0.00, S: 0.00
Cycle 183, cell 262 died of STRUCTURAL_COLLAPSE. E: 0.00, S: 0.00
Cycle 184, cell 538 died of STRUCTURAL_COLLAPSE. E: 0.00, S: 0.00
Cycle 184, cell 657 died of STRUCTURAL_COLLAPSE. E: 0.00, S: 0.00
Cycle 184, cell 757 died of STRUCTURAL_COLLAPSE. E: 0.00, S: 0.00
Cycle 184, cell 364 died of STRUCTURAL_COLLAPSE. E: 0.00, S: 0.00
Cycle 184, cell 121 died of STRUCTURAL_COLLAPSE. E: 0.00, S: 0.00
Cycle 184, cell 111 died of STRUCTURAL_COLLAPSE. E: 0.00, S: 0.00
Cycle 184, cell 421 died of STRUCTURAL_COLLAPSE. E: 0.00, S: 0.00
Cycle 184, cell 316 died of STRUCTURAL_COLLAPSE. E: 0.00, S: 0.00
Cycle 185, cell 179 died of STRUCTURAL_COLLAPSE. E: 0.00, S: 0.00
Cycle 185, cell 535 died of STRUCTURAL_COLLAPSE. E: 0.00, S: 0.00
Cycle 185, cell 385 died of STRUCTURAL_COLLAPSE. E: 0.00, S: 0.00
Cycle 185, cell 605 died of STRUCTURAL_COLLAPSE. E: 0.00, S: 0.00
Cycle 186, cell 207 died of STRUCTURAL_COLLAPSE. E: 0.00, S: 0.00
Cycle 186, cell 11 died of STRUCTURAL_COLLAPSE. E: 0.00, S: 0.00
Cycle 186, cell 88 died of STRUCTURAL_COLLAPSE. E: 0.00, S: 0.00
Cycle 186, cell 536 died of STRUCTURAL_COLLAPSE. E: 0.00, S: 0.00
Cycle 186, cell 36 died of STRUCTURAL_COLLAPSE. E: 0.00, S: 0.00
Cycle 186, cell 161 died of STRUCTURAL_COLLAPSE. E: 0.00, S: 0.00
Cycle 187, cell 318 died of STRUCTURAL_COLLAPSE. E: 0.00, S: 0.00
Cycle 187, cell 55 died of STRUCTURAL_COLLAPSE. E: 0.00, S: 0.00
Cycle 188, cell 249 died of STRUCTURAL_COLLAPSE. E: 0.00, S: 0.00
Cycle 188, cell 201 died of STRUCTURAL_COLLAPSE. E: 0.00, S: 0.00
Cycle 188, cell 298 died of STRUCTURAL_COLLAPSE. E: 0.00, S: 0.00
Cycle 188, cell 640 died of STRUCTURAL_COLLAPSE. E: 0.00, S: 0.00
Cycle 189, cell 132 died of STRUCTURAL_COLLAPSE. E: 0.00, S: 0.00
Cycle 189, cell 448 died of STRUCTURAL_COLLAPSE. E: 0.00, S: 0.00
Cycle 190, cell 86 died of STRUCTURAL_COLLAPSE. E: 0.00, S: 0.00
Cycle 190, cell 243 died of STRUCTURAL_COLLAPSE. E: 0.00, S: 0.00
Cycle 190, cell 284 died of STRUCTURAL_COLLAPSE. E: 0.00, S: 0.00
Cycle 191, cell 626 died of STRUCTURAL_COLLAPSE. E: 0.00, S: 0.00
Cycle 191, cell 780 died of STRUCTURAL_COLLAPSE. E: 0.00, S: 0.00
Cycle 191, cell 213 died of STRUCTURAL_COLLAPSE. E: 0.00, S: 0.00
Cycle 192, cell 174 died of STRUCTURAL_COLLAPSE. E: 0.00, S: 0.00
Cycle 192, cell 1 died of STRUCTURAL_COLLAPSE. E: 0.00, S: 0.00
Cycle 192, cell 8 died of STRUCTURAL_COLLAPSE. E: 0.00, S: 0.00
Cycle 192, cell 546 died of STRUCTURAL_COLLAPSE. E: 0.00, S: 0.00
Cycle 192, cell 178 died of STRUCTURAL_COLLAPSE. E: 0.00, S: 0.00
Cycle 192, cell 289 died of STRUCTURAL_COLLAPSE. E: 0.00, S: 0.00
Cycle 192, cell 313 died of STRUCTURAL_COLLAPSE. E: 0.00, S: 0.00
Cycle 192, cell 717 died of STRUCTURAL_COLLAPSE. E: 0.00, S: 0.00
Cycle 193, cell 482 died of STRUCTURAL_COLLAPSE. E: 0.00, S: 0.00
Cycle 193, cell 245 died of STRUCTURAL_COLLAPSE. E: 0.00, S: 0.00
Cycle 193, cell 705 died of STRUCTURAL_COLLAPSE. E: 0.00, S: 0.00
Cycle 193, cell 465 died of STRUCTURAL_COLLAPSE. E: 0.00, S: 0.00
Cycle 193, cell 312 died of STRUCTURAL_COLLAPSE. E: 0.00, S: 0.00
Cycle 193, cell 45 died of STRUCTURAL_COLLAPSE. E: 0.00, S: 0.00
Cycle 193, cell 263 died of STRUCTURAL_COLLAPSE. E: 0.00, S: 0.00
Cycle 193, cell 105 died of STRUCTURAL_COLLAPSE. E: 0.00, S: 0.00
Cycle 193, cell 374 died of STRUCTURAL_COLLAPSE. E: 0.00, S: 0.00
Cycle 193, cell 371 died of STRUCTURAL_COLLAPSE. E: 0.00, S: 0.00
Cycle 194, cell 620 died of STRUCTURAL_COLLAPSE. E: 0.00, S: 0.00
Cycle 194, cell 186 died of STRUCTURAL_COLLAPSE. E: 0.00, S: 0.00
Cycle 194, cell 622 died of STRUCTURAL_COLLAPSE. E: 0.00, S: 0.00
Cycle 194, cell 437 died of STRUCTURAL_COLLAPSE. E: 0.00, S: 0.00
Cycle 194, cell 693 died of STRUCTURAL_COLLAPSE. E: 0.00, S: 0.00
Cycle 194, cell 561 died of STRUCTURAL_COLLAPSE. E: 0.00, S: 0.00
Cycle 194, cell 452 died of STRUCTURAL_COLLAPSE. E: 0.00, S: 0.00
Cycle 195, cell 388 died of STRUCTURAL_COLLAPSE. E: 0.00, S: 0.00
Cycle 195, cell 338 died of STRUCTURAL_COLLAPSE. E: 0.00, S: 0.00
Cycle 195, cell 4 died of STRUCTURAL_COLLAPSE. E: 0.00, S: 0.00
Cycle 196, cell 496 died of STRUCTURAL_COLLAPSE. E: 0.00, S: 0.00
Cycle 196, cell 633 died of STRUCTURAL_COLLAPSE. E: 0.00, S: 0.00
Cycle 197, cell 346 died of STRUCTURAL_COLLAPSE. E: 0.00, S: 0.00
Cycle 197, cell 477 died of STRUCTURAL_COLLAPSE. E: 0.00, S: 0.00
Cycle 197, cell 555 died of STRUCTURAL_COLLAPSE. E: 0.00, S: 0.00
Cycle 198, cell 454 died of STRUCTURAL_COLLAPSE. E: 0.00, S: 0.00
Cycle 198, cell 35 died of STRUCTURAL_COLLAPSE. E: 0.00, S: 0.00
Cycle 198, cell 355 died of STRUCTURAL_COLLAPSE. E: 0.00, S: 0.00
Cycle 198, cell 816 died of STRUCTURAL_COLLAPSE. E: 181.19, S: 0.00
Cycle 198, cell 102 died of STRUCTURAL_COLLAPSE. E: 0.00, S: 0.00
Cycle 198, cell 18 died of STRUCTURAL_COLLAPSE. E: 0.00, S: 0.00
Cycle 199, cell 135 died of STRUCTURAL_COLLAPSE. E: 0.00, S: 0.00
Cycle 199, cell 614 died of STRUCTURAL_COLLAPSE. E: 0.00, S: 0.00
Cycle 200, cell 275 died of STRUCTURAL_COLLAPSE. E: 0.00, S: 0.00
Cycle 200, cell 433 died of STRUCTURAL_COLLAPSE. E: 0.00, S: 0.00
